Company Name,Space,Business Model,About the Business,Stage,Action Date,Existing Investors,Investor Discussions,Sourcing,Ecosystem_Notes,Internal_Notes,Discussion
Vecmocon,Deeptech,Manufacturing,"An electric vehicle (EV) intelligence manufacturing BMS, motor controllers, Vehicle intelligence modules and chargers",A,,"Aavishkaar,British International Investments,Blume,Tiger Global",07-01-2026,,,,
Niqo Robotics,Deeptech,Robotics,An agricultural automation company specializing in computer vision-driven precision farming and physical AI field robotics,Seed,,"Blume,Beenext,Omnivore",07-01-2026,,,,checked
iDo,B2B Commerce,Manufacturing,A full-stack Original Design Manufacturer (ODM) that provides end-to-end hardware and software delivery for connected smart consumer devices,Seed,,"Blume,Merak","7/1/2026,7/9/2026",,,,
Ethereal Machines,Deeptech,Manufacturing,"A deep-tech precision engineering firm offering high-tech Machining-as-a-Service through proprietary, automated production hardware. 3D printing combines with advanced carving tools",B,,"PeakXV,Avataar,Steadview,Blume",07-01-2026,,,,
THB,Health,SAAS,An enterprise healthcare SaaS platform that provides clinical data management and automated big data analytics using real-world medical evidence,B,,"Filter Capital,Blume,Healthquad,Cornerstone Venture",07-01-2026,,,,
Atomic Work,AI,AI SAAS,An enterprise software company providing AI-native agentic service management solutions to simplify employee workplace workflows,A,,"Blume,Khosla Ventures,Z47,PeakXV",07-01-2026,,,,
Flash,Consumer,Marketplace,An e-commerce platform that simplifies online purchase tracking for power shoppers through personalized digital IDs and shopping assistants,Pre-A,,"Blume,Peer",07-01-2026,,,,
Aerem,Fintech,Marketplace,A full-stack clean energy fintech company providing tailored asset financing to accelerate the adoption of distributed rooftop solar infrastructure,Pre-B,,"SMBC,Blume,British International Investments,Avaana",07-01-2026,,,,
AppsForBharat,Consumer,Marketplace,Srimandir: High-engagement devotion and spiritual-tech marketplace application,C,,"Beenext,WEH,PeakXV,Mirae,Fundamentum,SIG,Elevation,Z47",07-02-2026,,,,
Mynd M1Xchange,Fintech,Marketplace,RBI-licensed TReDS platform for corporate-backed MSME invoice discounting,A,,"Beenext,Filter Capital,Indiamart,Amazon",07-02-2026,,50,,checked
Deconstruct,Consumer,D2C,"A science-backed, transparent-label personal care and chemical-peel D2C beauty brand",A,,"Beenext,V3,Kalaari,DSG","7/2/2026,8/18/2026",,,,checked
Inito,Health,D2C,"A medical technology company that makes an FDA-cleared, smartphone-powered home diagnostic device used to track multiple hormone markers (like LH, Estrogen, and Progesterone) using specialized at-home test strips to predict ovulation and monitor fertility",B,,"Fireside,Bertelsmann,Better",10-01-2025,,,,checked
Elevate Now,Health,D2C," is a doctor-led, root-cause-driven clinical weight loss platform that treats obesity as a medical condition by diagnosing underlying physiological issues like hormonal imbalances and insulin resistance rather than relying solely on calorie restriction.",Seed,,"Titan,Physis,WHealth",5/24/2026,,48,,checked
Frido,Consumer,D2C,"Frido specializes in health-tech and ergonomic comfort. The company creates specialized gear designed to ease pain and improve daily movements like walking, sitting, and sleeping",A,13-07-2026,Orbimed,7/13/2026,,,,
Whizzo,B2B Commerce,Manufacturing," Materials science contract development and manufacturing organisation (CDMO) that develops and manufactures engineered, high-performance technical textiles across sectors like packaging, agriculture, infrastructure, and protective clothing",A,,"Fundamentum,Lightspeed,Beenext",06-11-2026,,,,checked
Inphlox Water Systems,Deeptech,Manufacturing,"Deep-tech cleantech startup that builds compact, automated, and chemical-free decentralized wastewater treatment systems for industrial and urban use",A,,Mela,7/13/2026,Investor,,,checked
Mindgrove,Deeptech,Semiconductors,"Mindgrove is a fabless semiconductor startup designing high-performance, programmable, and secure RISC-V-based System-on-Chips (SoCs) and microcontrollers at a 30% lower cost for global IoT, automotive, and edge-AI markets",A,,"Mela,Speciale,Rocketship,PeakXV,Whiteboard",7/13/2026,,,,
iTuring,AI SAAS,AI SAAS,Enterprise-grade SaaS company that provides a zero-code Data Science and Machine Learning (DSML) platform. It helps banks and insurers automate every stage of AI model building and deployment,A,31-12-2027,"Dallas VC,Mela",7/13/2026,Investor,,,
Galaxeye,Deeptech,Space,Deep-tech space technology startup that designs and builds the world’s first multi-sensor Earth observation satellites using combined radar and optical imagery to look through clouds and darkness,A,,"Speciale,Mela,Anicut,Rainmatter,MountTech",7/13/2026,,,,
General Aeronautics,Deeptech,Drones,"General Aeronautics is a deep-tech company that designs and manufactures advanced, heavy-duty Unmanned Aerial Vehicles (UAVs) and AI-analytics frameworks optimized for precision agriculture and emergency medical logistics",A,,Mela,7/13/2026,,,,
Ozi,Consumer,Marketplace," specialized vertical quick-commerce platform based in Gurugram, India, that delivers baby, toddler, and kids' products to parents within 60 minutes.",A,,"RTP,Blume,Huddl","7/18/2026,8/17/2026",,,,
Littlebox,Consumer,D2C,"D2C ultra-fast fashion brand based out of Guwahati and Noida that delivers highly affordable, trend-led apparel and footwear to India’s Gen Z audience",Seed,,"Huddl,Prath",7/18/2026,,,,
Asaya,Consumer,D2C,"Skincare brand based in Bengaluru that creates specialized, dermatologist-tested formulations engineered specifically for melanin-rich Indian skin tones",Pre-A,,"Huddl,OTP",7/18/2026,,,,
Decentro,Fintech,Fintech Infra,A B2B fintech infrastructure and API platform enabling financial integrations for payment collections and eKYC,B,,"Upsparks,Infoedge",7/22/2026,,,,checked
Vegapay,Fintech,Fintech Infra,A B2B digital lending and credit card management platform designed for financial institutions.,B,11-01-2027,"Upsparks,Elevation,Vertex",7/22/2026,,,,checked
Smallest,AI,AI Infra, An AI platform developing low-latency generative artificial intelligence models for vocal automation.,A,01-10-2026,"Upsparks,Better,3One4,Sierra",7/22/2026,,,,
Flam,AI,AI SAAS,An AI-native mixed-reality (MR) and interactive-content publishing platform designed for consumer brand marketing,A,01-12-2026,"Upsparks,RTP,Inventus",7/22/2026,,,,
Pixis,AI,AI SAAS,A no-code AI-powered full-stack marketing platform that automates digital demand generation and optimizes ad campaigns for enterprise brands.,C,,"Upsparks,Premji,General Atlantic,Softbank,Celesta,Chiratae,Pi,Exfinity",7/22/2026,,,,
AbleCredit,Fintech,AI SAAS,GenAI FinTech platform offering an AI copilot/assistant tool that automates credit evaluation and builds policy-compliant credit underwriting reports for the BFSI sector,Seed,,Merak,7/24/2026,,,,
Atomgrid,B2B Commerce,Manufacturing,"B2B managed marketplace and R&D platform specializing in contract development, custom sourcing, and manufacturing of specialty chemicals",A,,"Merak,Upsparks",7/24/2026,,,,
CredResolve,Fintech,AI SAAS,"AI-powered debt collections infrastructure platform automating compliant recovery workflows for banks, NBFCs, and FinTechs via voice bots and field networks",Pre-A,,"Merak,Unleash",7/24/2026,,,,
Playshifu,"B2B Commerce,Consumer","Manufacturing,D2C","EdTech and toy manufacturer producing physical-digital (phygital) educational toys paired with an interactive mobile app. Key SKUs include Orboot (AR globes), Plugo (gaming systems), and Tacto (board games)",B,,"Chiratae,Inventus,Inflexor",7/24/2026,,,,checked
Zilo,Consumer,Quick Commerce,"Consumer Retail and vertical Quick Commerce platform providing an omnichannel, rapid-delivery service for apparel and fashion accessories",A,01-10-2026,"Chiratae,Infoedge,PeakXV",7/24/2026,,,,
Peeko,Consumer,Quick Commerce,"Babycare-focused vertical Quick Commerce platform offering curated baby products with 60-minute delivery and try-and-buy options. Key SKUs/Categories include apparel, toys, diapers, baby food, feeding essentials, and personal care items",Seed,,"Stellaris,Titan,Chiratae",7/24/2026,,,,
Redcliffe Labs,Health,Full stack,"HealthTech diagnostics platform offering direct-to-consumer digital booking for comprehensive health checkups. Key SKUs include pathology packages, radiology profiles, genetics, and home sample collection",B,,"Healthquad,Chiratae",7/24/2026,,,,
Curefoods,Consumer,D2C,"Cloud kitchen internet restaurant operator running a multi-brand food tech ecosystem. Key SKUs include flagship brands EatFit, CakeZone, Sharief Bhai, and Olready",D,,,7/24/2026,,,,
Miko,Consumer,D2C,"Consumer Electronics and AI robotics lab manufacturing emotionally intelligent, interactive companion robots for childhood education. Key SKUs include Miko 3 and Miko Mini",D,,"Ivycap,Chiratae",7/24/2026,,,,
Advarisk,Fintech,AI SAAS,"Banking Tech and FinTech SaaS platform that builds AI-driven real estate collateral management, fraud prevention, and forensic analysis software for financial institutions. Key SKUs/platforms include AdvaSmart (automated property title, onboarding, and due diligence checks), AdvaNPA (non-performing asset monitoring), and CorpData (corporate fraud detection)",B,01-07-2026,Fundamentum,7/24/2026,,49,,checked
Superliving,Consumer,AI,"AI-powered preventive healthcare platform offering affordable, bite-sized digital wellness courses, habit-building nudges, and localized coaching programs across core lifestyle SKUs including nutrition, movement/fitness, sleep, stress management, skincare, and pregnancy support.",A,,"Lightspeed,Kae,Allin",7/28/2026,,,,
Naptick,Consumer,D2C,"AI-led consumer hardware focused on improving sleep quality, targeting the US market",Seed,,Antler,7/28/2026,,,,
Evoke Hair,Consumer,Full stack,"Medically led clinic network in the hair restoration and clinical skincare categories, provides key SKUs/services including hair transplants, PRP therapy, laser therapy, microneedling, and chemical peels",Seed,,Infoedge,,,,,checked
Headout,Consumer,Marketplace,"On-demand, mobile-first marketplace that enables travelers to discover and book spontaneous, last-minute local tours, attractions, activities, and live events",B,,"Nexus,Glade Brook,Tenacity,FJ Labs",08-06-2026,,,,
BondsIndia,Fintech,Marketplace,SEBI-registered Online Bond Platform Provider (OBPP) that democratises debt markets by allowing retail investors to trade fixed-income securities seamlessly online with real-time exchange settlements,Seed,,,08-06-2026,,,,
Tuco Kids,Consumer,D2C,"Children's personal care brand specializing in dermatologist-tested, toxin-free skincare, haircare, and natural makeup featuring SKUs like kids' soaps, body lotions, body mists, natural shampoos, gels, kajal, and beetroot lip tints",A,,"RTP,Whiteboard,Fireside",8/17/2026,,,,
Outzidr,Consumer,D2C,"A digital-first fast-fashion brand delivering Western wear for Gen Z women with up to 2,000 monthly style additions across SKUs like brunch dresses, party wear, concert outfits, and everyday tops",Pre-A,,"RTP,Stellaris",8/17/2026,,,,
Trupeer,AI,AI SAAS,"An AI-native enterprise knowledge and L&D content platform that converts simple screen captures into matching training modules, with automated SKUs including studio-quality AI voiceover videos, interactive avatar training tutorials, localized multi-language guides (65+ languages), and structured SOP/technical manuals.",Seed,,RTP,8/17/2026,,,,
Varaha,B2B Commerce,Full stack,"A climate-tech developer initiating large-scale carbon removal projects across South Asia and Africa, specializing in carbon offset asset SKUs like Biochar credits, Afforestation/Reforestation (ARR) credits, and Enhanced Rock Weathering (ERW) credits",B,,"RTP,WestBridge,Omnivore",8/17/2026,,,,
Nava,AI,AI Infra,"A full-stack neocloud platform providing AI-optimized high-performance infrastructure via on-demand SKUs such as GPU-as-a-Service, automated AI clusters, and custom edge computing partitions",A,,"RTP,GreenOaks,Unicorn Ventures",8/17/2026,,,,
Soma,Fintech,Marketplace,"Commercial insurance brokerage catering to complex business operations with policy SKUs spanning corporate group health plans, custom liability coverage, and enterprise asset insurance.",Seed,,"RTP,Accel",8/17/2026,,,,
M,Consumer,AI," Automating home operations like meal planning, grocery ordering, and coordinating household staff via AI and WhatsApp",Seed,,"PeakXV,Blume,RTP",8/17/2026,,,,
Scimplify,B2B Commerce,Marketplace,"Research led, end-to-end digital sourcing and manufacturing platform for complex specialty chemicals, catering to key categories such as agrochemicals, pharmaceutical APIs, and flavors & fragrances",C,,"Accel,3One4,Bertelsmann,Beenext,Omnivore",8/18/2026,,,,
Minimines,B2B Commerce,Full stack,"Clean-tech company that uses a patented, zero-discharge ""Hybrid-Hydrometallurgy"" extraction process to recycle end-of-life lithium-ion batteries and extract high-purity, battery-grade commodity salts, including Lithium, Cobalt, Nickel, and Manganese",A,01-01-2027,"Beenext,Axilor,Shastra,DeVC",8/18/2026,,,,
CreditPe,Fintech,Retail," B2C fintech platform that functions as an NPCI-registered third-party UPI application, offering secured RuPay credit cards, Fixed Deposits, utility bill payments, and unsecured cards specifically targeted at credit newcomers and the aspiring middle class in India.",Seed,,Beenext,8/18/2026,,,,
